branch,num_of_instance
1961,1
3292,1
2654,1
2655,1
2658,1
1958,1
2666,1
2667,1
2625,1
2031,1
2036,1
2615,1
2042,1
2608,1
2605,1
2052,1
2600,1
2055,1
2584,1
2062,1
2582,1
2076,1
2077,1
2565,1
2563,1
1948,1
1947,1
2677,1
2750,1
1776,1
1792,1
1793,1
1799,1
2778,1
2777,1
2776,1
2770,1
1804,1
1807,1
1836,1
2759,1
1882,1
2751,1
2737,1
1938,1
2735,1
1889,1
1890,1
2723,1
2713,1
1900,1
2708,1
1908,1
1909,1
2699,1
2698,1
1914,1
2682,1
2681,1
2111,1
2116,1
2141,1
2409,1
2262,1
2443,1
2442,1
2441,1
2440,1
2267,1
2429,1
2427,1
2426,1
2271,1
2283,1
2284,1
2285,1
2410,1
2408,1
2453,1
2407,1
2290,1
2294,1
2320,1
2385,1
2321,1
2378,1
2324,1
2332,1
2371,1
2333,1
2350,1
2353,1
2357,1
2254,1
2455,1
2144,1
2176,1
2145,1
2539,1
2536,1
2534,1
2530,1
2153,1
2154,1
2521,1
2520,1
2164,1
2515,1
2514,1
2172,1
2173,1
2178,1
2457,1
2192,1
2197,1
2198,1
2490,1
2200,1
2488,1
2216,1
2479,1
2225,1
2476,1
2474,1
2473,1
2235,1
2236,1
1775,1
1774,1
1768,1
3106,1
1281,1
3146,1
3145,1
3144,1
3131,1
1295,1
1296,1
1298,1
3126,1
3119,1
1307,1
1308,1
3110,1
3109,1
2356,1
1272,1
1319,1
1321,1
3096,1
1330,1
1344,1
1347,1
3069,1
1355,1
1359,1
3058,1
1364,1
3055,1
1366,1
1367,1
1280,1
3167,1
3048,1
3222,1
3291,1
3290,1
3289,1
3275,1
3263,1
3257,1
3253,1
3252,1
1170,1
1188,1
3236,1
1193,1
1210,1
1216,1
1217,1
1268,1
1218,1
1224,1
1236,1
1241,1
3203,1
1242,1
3198,1
3195,1
1245,1
1265,1
3175,1
3174,1
3173,1
3172,1
3049,1
3044,1
1765,1
2852,1
2904,1
1689,1
1691,1
2889,1
1700,1
2882,1
2877,1
2876,1
2875,1
1707,1
1715,1
1720,1
2854,1
1721,1
1725,1
2920,1
1727,1
1728,1
2843,1
1730,1
1745,1
1746,1
1759,1
1763,1
2817,1
2816,1
2815,1
2813,1
2812,1
2811,1
2914,1
2922,1
3043,1
2984,1
1400,1
1431,1
3025,1
1448,1
1462,1
3019,1
1473,1
1499,1
1500,1
3011,1
3005,1
3004,1
1505,1
2986,1
2983,1
2923,1
2982,1
1534,1
1536,1
2973,1
1552,1
2954,1
2949,1
2946,1
2945,1
2941,1
2940,1
1629,1
1630,1
1637,1
3100,1
