route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,route_fare_class,line_id,listed_route,fare,reduced_fare
145,210,1,210,Quincy Center Station - Fields Corner Station,Local Bus,3,https://www.mbta.com/schedules/210,FFC72C,0,52100,Local Bus,line-210211212,,1.7,0.85
146,211,1,211,Quincy Center Station - Squantum,Local Bus,3,https://www.mbta.com/schedules/211,FFC72C,0,52110,Local Bus,line-210211212,,1.7,0.85
147,212,1,212,Quincy Center Station - North Quincy Station,Commuter Bus,3,https://www.mbta.com/schedules/212,FFC72C,0,52120,Local Bus,line-210211212,,1.7,0.85
148,214,1,214,Germantown - Quincy Center Station,Local Bus,3,https://www.mbta.com/schedules/214,FFC72C,0,52140,Local Bus,line-214216,,1.7,0.85
149,214216,1,214/216,Houghs Neck - Quincy Center Station,Local Bus,3,,FFC72C,0,52141,Local Bus,line-214216,1.0,1.7,0.85
150,215,1,215,Quincy Center Station - Ashmont Station via West Quincy,Local Bus,3,https://www.mbta.com/schedules/215,FFC72C,0,52150,Local Bus,line-215,,1.7,0.85
151,216,1,216,Houghs Neck - Quincy Center Station,Local Bus,3,https://www.mbta.com/schedules/216,FFC72C,0,52160,Local Bus,line-214216,,1.7,0.85
152,217,1,217,Quincy Center Station - Ashmont Station via Wollaston Station,Commuter Bus,3,https://www.mbta.com/schedules/217,FFC72C,0,52170,Local Bus,line-217245,,1.7,0.85
153,220,1,220,Hingham Depot - Quincy Center Station,Local Bus,3,https://www.mbta.com/schedules/220,FFC72C,0,52200,Local Bus,line-220221222,,1.7,0.85
154,221,1,221,Fort Point - Quincy Center Station,Commuter Bus,3,https://www.mbta.com/schedules/221,FFC72C,0,52210,Local Bus,line-220221222,,1.7,0.85
155,222,1,222,East Weymouth - Quincy Center Station,Local Bus,3,https://www.mbta.com/schedules/222,FFC72C,0,52220,Local Bus,line-220221222,,1.7,0.85
156,225,1,225,Weymouth Landing - Quincy Center Station,Local Bus,3,https://www.mbta.com/schedules/225,FFC72C,0,52250,Local Bus,line-225226,,1.7,0.85
157,226,1,226,Columbian Square - Braintree Station,Local Bus,3,https://www.mbta.com/schedules/226,FFC72C,0,52260,Local Bus,line-225226,,1.7,0.85
158,230,1,230,Montello Station - Quincy Center Station,Local Bus,3,https://www.mbta.com/schedules/230,FFC72C,0,52300,Local Bus,line-230,,1.7,0.85
159,236,1,236,South Shore Plaza - Quincy Center Station,Local Bus,3,https://www.mbta.com/schedules/236,FFC72C,0,52360,Local Bus,line-236,,1.7,0.85
160,238,1,238,Holbrook/Randolph Station - Quincy Center Station,Local Bus,3,https://www.mbta.com/schedules/238,FFC72C,0,52380,Local Bus,line-238,,1.7,0.85
161,240,1,240,Avon Square - Ashmont Station,Local Bus,3,https://www.mbta.com/schedules/240,FFC72C,0,52400,Local Bus,line-240,,1.7,0.85
162,245,1,245,Quincy Center Station - Mattapan Station,Local Bus,3,https://www.mbta.com/schedules/245,FFC72C,0,52450,Local Bus,line-217245,,1.7,0.85
163,325,1,325,"Elm Street, Medford - Haymarket Station",Commuter Bus,3,https://www.mbta.com/schedules/325,FFC72C,0,53250,Inner Express,line-325326,,4.25,2.1
164,326,1,326,West Medford - Haymarket Station,Commuter Bus,3,https://www.mbta.com/schedules/326,FFC72C,0,53260,Inner Express,line-325326,,4.25,2.1
165,350,1,350,North Burlington - Alewife Station,Local Bus,3,https://www.mbta.com/schedules/350,FFC72C,0,53500,Local Bus,line-350351,,1.7,0.85
166,351,1,351,Bedford Woods Drive - Alewife Station,Commuter Bus,3,https://www.mbta.com/schedules/351,FFC72C,0,53510,Inner Express,line-350351,,4.25,2.1
